96, 2012 NOV 13 00:55:19,  2.5076150065637631e-01, -1.6033420204572552e-01, -2.6640012888986941e-01
97, 2012 NOV 14 01:36:51,  2.5487919936041303e-01, -1.5469122870573912e-01, -2.6582785573136181e-01
98, 2012 NOV 15 02:18:22,  2.5891214850518735e-01, -1.4899572265554364e-01, -2.6517915728273234e-01
99, 2012 NOV 16 02:59:53,  2.6286157080239941e-01, -1.4324982955785520e-01, -2.6446325725761927e-01
100, 2012 NOV 17 03:41:24,  2.6539852571549039e-01, -1.3647856473597494e-01, -2.6339487105957854e-01
101, 2012 NOV 18 04:22:55,  2.6915727722393840e-01, -1.3065735005288612e-01, -2.6253084530124676e-01
102, 2012 NOV 19 05:04:27,  2.9034038592385736e-01, -1.3511750182237822e-01, -2.7200519082851365e-01
103, 2012 NOV 20 05:45:58,  2.9413803700282926e-01, -1.2887873521894966e-01, -2.7095012736557678e-01
104, 2012 NOV 21 06:27:29,  2.9783994250747720e-01, -1.2259587099016668e-01, -2.6981901218028848e-01
105, 2012 NOV 22 07:09:00,  3.0144489566121707e-01, -1.1627090598043004e-01, -2.6861221796379364e-01
106, 2012 NOV 23 07:50:31,  3.0495183868956272e-01, -1.0990574762110912e-01, -2.6733005779564484e-01
107, 2012 NOV 24 08:32:02,  3.0835963933541172e-01, -1.0350245234812544e-01, -2.6597299377225903e-01
108, 2012 NOV 25 09:13:34,  3.1166725473304618e-01, -9.7062897783093099e-02, -2.6454139857677345e-01
109, 2012 NOV 26 09:55:05,  3.1487364203746088e-01, -9.0589170151841369e-02, -2.6303573430375882e-01
110, 2012 NOV 27 10:36:36,  3.1797784780732086e-01, -8.4083236466575839e-02, -2.6145649284286659e-01
111, 2012 NOV 28 11:18:07,  3.2077132082050219e-01, -7.7518946800174585e-02, -2.5946000967027999e-01
112, 2012 NOV 29 11:59:38,  3.2366544257119695e-01, -7.0960313646876411e-02, -2.5773637133532085e-01
113, 2012 NOV 30 12:41:10,  3.2646386577129693e-01, -6.4379576976147407e-02, -2.5594313456049961e-01
114, 2012 DEC 01 13:22:41,  3.2914011055299630e-01, -5.7768304394243006e-02, -2.5407295415394138e-01
115, 2012 DEC 02 14:04:12,  3.3171991250340360e-01, -5.1136984639224822e-02, -2.5213940406866348e-01
116, 2012 DEC 03 14:45:43,  3.3418918917917478e-01, -4.4488926691407790e-02, -2.5012540873166689e-01
117, 2012 DEC 04 15:27:14,  3.3655135430362992e-01, -3.7818944614122094e-02, -2.4805129259541950e-01
118, 2012 DEC 05 16:08:46,  3.3880514071961287e-01, -3.1136128227431722e-02, -2.4590248308324000e-01
119, 2012 DEC 06 16:50:17,  3.4094792648991118e-01, -2.4437974214692845e-02, -2.4368735452499715e-01
