target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
144, 2013 JAN 01 10:08:17, -2.9225225112219749e-01, -3.4402632377698217e-01, -2.5924731659506817e-03
145, 2013 JAN 02 10:49:48, -2.9225211708730214e-01, -3.4402615059378089e-01, -2.5924624395694956e-03
146, 2013 JAN 03 11:31:19, -2.9225195948630234e-01, -3.4402596033710819e-01, -2.5924480526768739e-03
147, 2013 JAN 04 12:12:50, -2.9128963911141043e-01, -3.4303662129130191e-01, -5.2278767719454861e-03
148, 2013 JAN 05 12:54:21, -2.9128947946303363e-01, -3.4303642442945448e-01, -5.2278621378901019e-03
149, 2013 JAN 06 13:35:52, -2.9129054095268614e-01, -3.4303771036814296e-01, -5.2282453859319594e-03
150, 2013 JAN 07 14:17:24, -2.9128930666035341e-01, -3.4303611064306866e-01, -5.2273039943722122e-03
151, 2013 JAN 08 14:58:55, -2.9113021274311812e-01, -3.4287677298300023e-01, -5.8216757819195414e-03
152, 2013 JAN 09 15:40:26, -2.9088066118929556e-01, -3.4258456174898566e-01, -7.9317680777869909e-03
153, 2013 JAN 10 16:21:57, -2.9088047246236837e-01, -3.4258436110385371e-01, -7.9317914365700098e-03
154, 2013 JAN 11 17:03:28, -2.9088046770642001e-01, -3.4258441810837387e-01, -7.9323356074657292e-03
155, 2013 JAN 12 17:45:00, -2.9088133265650484e-01, -3.4258553371140982e-01, -7.9310324531467052e-03
156, 2013 JAN 13 18:26:31, -2.9087782234293758e-01, -3.4258117725115877e-01, -7.9350986574342336e-03
157, 2013 JAN 14 19:08:02, -2.9087767332788483e-01, -3.4258098421422156e-01, -7.9351005384118295e-03
158, 2013 JAN 15 19:49:33, -2.9087936349846655e-01, -3.4258267083362509e-01, -7.9296381661058402e-03
159, 2013 JAN 16 20:31:04, -2.9139756753209911e-01, -3.4325888147998934e-01, -6.9623822728633183e-03
160, 2013 JAN 17 21:12:36, -2.9139353617088815e-01, -3.4325435433810475e-01, -6.9659764497878168e-03
161, 2013 JAN 18 21:54:07, -2.9139451289144269e-01, -3.4325536951454383e-01, -6.9644073013754304e-03
162, 2013 JAN 19 22:35:38, -2.8810128869380697e-01, -3.3881004946633486e-01, -2.2068526399269470e-03
163, 2013 JAN 20 23:17:09, -2.8735526161421315e-01, -3.3789512266740457e-01, -3.6663581470467652e-03
164, 2013 JAN 21 23:58:40, -2.8791295380132365e-01, -3.3860901250312614e-01, -3.1771801165456359e-03
165, 2013 JAN 23 00:40:12, -2.8791280390877677e-01, -3.3860885354108583e-01, -3.1771812699867980e-03
166, 2013 JAN 24 01:21:43, -2.8772382790709439e-01, -3.3839180134379560e-01, -4.2823743685087776e-03
167, 2013 JAN 25 02:03:14, -2.8772366207255423e-01, -3.3839163546017348e-01, -4.2823810708045723e-03
168, 2013 JAN 26 02:44:45, -2.8772423728213431e-01, -3.3839265333299812e-01, -4.2843397145823636e-03
169, 2013 JAN 27 03:26:16, -2.8772411644267937e-01, -3.3839248215882606e-01, -4.2843345455289353e-03
170, 2013 JAN 28 04:07:48, -2.8772395151000546e-01, -3.3839233965182497e-01, -4.2843437995410544e-03
171, 2013 JAN 29 04:49:19, -2.8772384304030924e-01, -3.3839219361417650e-01, -4.2843341321332391e-03
172, 2013 JAN 30 05:30:50, -2.8772373192595813e-01, -3.3839204262551975e-01, -4.2843260717714063e-03
173, 2013 JAN 31 06:12:21, -2.8772358354720257e-01, -3.3839188969826139e-01, -4.2843256097122792e-03
174, 2013 FEB 01 06:53:52, -2.8772345868129590e-01, -3.3839174508005065e-01, -4.2843303390171297e-03
175, 2013 FEB 02 07:35:23, -2.8772334222606455e-01, -3.3839159389615109e-01, -4.2843155060478966e-03
176, 2013 FEB 03 08:16:55, -2.8772323803038125e-01, -3.3839146897803124e-01, -4.2843150951085481e-03
177, 2013 FEB 04 08:58:26, -2.8772310621746527e-01, -3.3839132140420386e-01, -4.2843120789253101e-03
178, 2013 FEB 05 09:39:57, -2.8772299664355672e-01, -3.3839116945077680e-01, -4.2842934315702906e-03
179, 2013 FEB 06 10:21:28, -2.8772285474240572e-01, -3.3839103433673368e-01, -4.2843042372521884e-03
180, 2013 FEB 07 11:02:59, -2.8772272678060040e-01, -3.3839088462976818e-01, -4.2843049372141197e-03
181, 2013 FEB 08 11:44:31, -2.8772261312144520e-01, -3.3839077607174789e-01, -4.2843178280136743e-03
182, 2013 FEB 09 12:26:02, -2.8772252481871352e-01, -3.3839063918602352e-01, -4.2842872585007585e-03
183, 2013 FEB 10 13:07:33, -2.8772237175006560e-01, -3.3839050554472672e-01, -4.2843071290440682e-03
184, 2013 FEB 11 13:49:04, -2.8772228606013156e-01, -3.3839038859570159e-01, -4.2843025734481885e-03
185, 2013 FEB 12 14:30:35, -2.8772218364401886e-01, -3.3839025691389990e-01, -4.2842888214960073e-03
186, 2013 FEB 13 15:12:07, -2.8772205702194759e-01, -3.3839013925816863e-01, -4.2842984574957589e-03
187, 2013 FEB 14 15:53:38, -2.8772196795002652e-01, -3.3839001131176155e-01, -4.2842898635626729e-03
188, 2013 FEB 15 16:35:09, -2.8772187882542255e-01, -3.3838990424468030e-01, -4.2842798198805612e-03
189, 2013 FEB 16 17:16:40, -2.8772175721737669e-01, -3.3838978215555227e-01, -4.2842849753777293e-03
190, 2013 FEB 17 17:58:11, -2.8772168507102192e-01, -3.3838966811040760e-01, -4.2842695899032793e-03
191, 2013 FEB 18 18:39:43, -2.8772155912040764e-01, -3.3838956219424932e-01, -4.2842806927114105e-03
192, 2013 FEB 19 19:21:14, -2.8772147454938718e-01, -3.3838945640922480e-01, -4.2842815745983490e-03
193, 2013 FEB 20 20:02:45, -2.8772139009208947e-01, -3.3838936088890786e-01, -4.2842770854354811e-03
194, 2013 FEB 21 20:44:16, -2.8772130398055523e-01, -3.3838925314472384e-01, -4.2842738455485183e-03
195, 2013 FEB 22 21:25:47, -2.8772122527923516e-01, -3.3838916154316068e-01, -4.2842695127936620e-03
196, 2013 FEB 23 22:07:18, -2.8772113510150921e-01, -3.3838905782045692e-01, -4.2842675411095682e-03
197, 2013 FEB 24 22:48:50, -2.8772106368997130e-01, -3.3838897029962856e-01, -4.2842641219547201e-03
198, 2013 FEB 25 23:30:21, -2.8772097876182856e-01, -3.3838887104410076e-01, -4.2842610856735630e-03
199, 2013 FEB 27 00:11:52, -2.8772089858736266e-01, -3.3838877260645278e-01, -4.2842558838468159e-03
200, 2013 FEB 28 00:53:23, -2.8772080251470350e-01, -3.3838870468518306e-01, -4.2842681554714351e-03
201, 2013 MAR 01 01:34:54, -2.8772073994219849e-01, -3.3838861957742222e-01, -4.2842619733646781e-03
202, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
203, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
204, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
205, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
206, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
207, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
208, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
209, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
210, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
211, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
212, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
213, 2013 MAR 02 02:16:26, -2.8772070993980170e-01, -3.3838854065733404e-01, -4.2842434445428818e-03
